firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
ALDI,2019-07-05, Deputy Store Manager,"Current Employee, more than 5 years","Chatteris, England, England",5,1.0,2.0,,2.0,1.0,1.0,v,v,v,I do not know what to say,Every day is different 😉,"No social life after work,  because I'm over tired all the time."
ALDI,2020-09-01, Store Assistant Manager,"Current Employee, more than 5 years","Neston, North West England, England, England",5,4.0,4.0,,4.0,4.0,4.0,v,r,v,good,I like it here a lot,long hours and don't like customers
ALDI,2020-09-03, Shop Assistant,"Current Employee, more than 3 years","Huddersfield, England, England",5,5.0,4.0,,3.0,3.0,4.0,o,o,o,Hard work,"Good pay rate 
Flexible hours
Nice colleagues","Hard work 
Hard work 
Disrespectful customers"
ALDI,2020-04-30, Deputy Store Manager,"Current Employee, more than 5 years","Blackpool, England, England",1,1.0,1.0,,1.0,2.0,1.0,x,r,r,The pay attracts everyone...dont be fooled.,Fellow colleagues are all that will get you through,You are just a number. If you dont do what they want they will just get rid i have seen it many times. This place treats employees like dirt. Even through this corona virus pandemic this was the only supermarket to not pay staff for any time off to self isolate even if they lived with someone who was confirmed to have it.
ALDI,2018-05-20, Assistant Store Manager,"Current Employee, more than 3 years","Chelmsford, England, England",3,1.0,3.0,,3.0,3.0,1.0,x,r,v,If you don't brown nose you won't progress,"Great team spirit, great pay, chance to move around the country and take your job with you.","If your face doesn't fit and you don't conform to brown nosing then you have nearly no chance at progressing in this business. If you work all the hours under the sun to prove yourself it will still go unnoticed. You can't trust any senior manager as they will divulge everything upwards, downwards and sideways. Get given false hope of progression for it never to materialise."
ALDI,2020-06-23, Deputy Manager,"Former Employee, more than 8 years","Penzance, England, England",3,2.0,3.0,,3.0,3.0,1.0,x,x,x,High expectations,"Wage, sick pay, maternity pay,","Constant focus on KPi’s over everything else. Poor support when a member of staff is struggling. Solve a problem by creating a new one, most of the time. Only think of profit. Staff welfare doesn’t matter as such."
ALDI,2020-02-23, Team Member,"Former Employee, more than 1 year","Birmingham, England, England",3,2.0,2.0,,3.0,3.0,4.0,v,v,v,Good manager,fleixible shifts to suit your lifestyle,lots of tasks to complete and long hours
ALDI,2019-06-26, Assistant Store,"Current Employee, more than 3 years","Brighton, England, England",1,1.0,1.0,,1.0,1.0,1.0,x,r,x,Good place,Salary is good and co workers,Management is horrible. They really don´t know what they are doing
ALDI,2021-01-05, Industrial Placement Student,"Former Employee, less than 1 year","Atherstone, England, England",2,1.0,1.0,1.0,3.0,3.0,1.0,x,v,r,Placement Scheme Review,"- good exposure to business
- good level of responsibility",Awful culture with minimal support from peers
AJ-Bell,2020-09-29, Current Employee,Current Employee,,1,1.0,1.0,,1.0,1.0,1.0,x,x,x,"Terrible, Terrible place to work!",Some good honest hard working staff members,"Poor Management. Poor pay, poor prospects unless you want to flirt and/or sleep with the sleazy upper management. Promotions only given to either inexperienced, underqualified 'yes' people to act as a stooge for management. Very disturbing history of bullying and harrasment. The board members are so far detached from reality it's unreal! Put profit before their clients then have the audacity to say they care a out their clients whilst Andy Bell plays at being Scrooge McDuck counting his money. The people that say it's a great place to work are seriously deluded!"
